fips,county,state,location,population
13277,Tift,Georgia,Georgia-Tift,40118
13279,Toombs,Georgia,Georgia-Toombs,27223
13281,Towns,Georgia,Georgia-Towns,10471
13283,Treutlen,Georgia,Georgia-Treutlen,6885
13285,Troup,Georgia,Georgia-Troup,67044
13287,Turner,Georgia,Georgia-Turner,8930
13289,Twiggs,Georgia,Georgia-Twiggs,9023
13291,Union,Georgia,Georgia-Union,21356
13293,Upson,Georgia,Georgia-Upson,27153
13295,Walker,Georgia,Georgia-Walker,68756
13297,Walton,Georgia,Georgia-Walton,83768
13299,Ware,Georgia,Georgia-Ware,36312
13301,Warren,Georgia,Georgia-Warren,5834
13303,Washington,Georgia,Georgia-Washington,21187
13305,Wayne,Georgia,Georgia-Wayne,30099
13307,Webster,Georgia,Georgia-Webster,2799
13309,Wheeler,Georgia,Georgia-Wheeler,7421
13311,White,Georgia,Georgia-White,27144
13313,Whitfield,Georgia,Georgia-Whitfield,102599
13315,Wilcox,Georgia,Georgia-Wilcox,9255
13317,Wilkes,Georgia,Georgia-Wilkes,10593
13319,Wilkinson,Georgia,Georgia-Wilkinson,9563
13321,Worth,Georgia,Georgia-Worth,21679
16001,Ada,Idaho,Idaho-Ada,392365
16003,Adams,Idaho,Idaho-Adams,3976
16005,Bannock,Idaho,Idaho-Bannock,82839
16007,Bear Lake,Idaho,Idaho-Bear Lake,5986
16009,Benewah,Idaho,Idaho-Benewah,9285
16011,Bingham,Idaho,Idaho-Bingham,45607
16013,Blaine,Idaho,Idaho-Blaine,21376
16015,Boise,Idaho,Idaho-Boise,7028
16017,Bonner,Idaho,Idaho-Bonner,40877
16019,Bonneville,Idaho,Idaho-Bonneville,104234
16021,Boundary,Idaho,Idaho-Boundary,10972
16023,Butte,Idaho,Idaho-Butte,2891
16025,Camas,Idaho,Idaho-Camas,1117
16027,Canyon,Idaho,Idaho-Canyon,188923
16029,Caribou,Idaho,Idaho-Caribou,6963
16031,Cassia,Idaho,Idaho-Cassia,22952
16033,Clark,Idaho,Idaho-Clark,982
16035,Clearwater,Idaho,Idaho-Clearwater,8761
16037,Custer,Idaho,Idaho-Custer,4368
16039,Elmore,Idaho,Idaho-Elmore,27038
16041,Franklin,Idaho,Idaho-Franklin,12786
16043,Fremont,Idaho,Idaho-Fremont,13242
16045,Gem,Idaho,Idaho-Gem,16719
16047,Gooding,Idaho,Idaho-Gooding,15464
16049,Idaho,Idaho,Idaho-Idaho,16267
16051,Jefferson,Idaho,Idaho-Jefferson,26140
